Date,Consumption,avg_max,avg_min,avg_rain,avg_temp
2018-01-01,87.3,23.775773268479572,11.385370914752666,0.0,17.58057209161612
2018-01-02,87.9,23.42297862126276,11.027654060950654,0.0,17.22531634110671
2018-01-03,92.1,21.428075203528767,10.351028222304127,0.0,15.889551712916447
2018-01-04,96.6,20.518271519587593,9.465576501993034,0.0,14.991924010790314
2018-01-05,98.5,21.488782882690415,8.556000819573033,0.0,15.022391851131724
2018-01-06,94.8,19.51550593742958,8.294678834768444,0.0,13.905092386099012
2018-01-07,90.9,19.79289135566124,7.9014225006103525,0.0,13.847156928135796
2018-01-08,103.3,19.977224643413837,6.527955972231353,0.0,13.252590307822596
2018-01-09,111.5,21.554900389451237,7.360009010021506,0.0,14.457454699736372
2018-01-10,113.2,20.90493825765756,7.937941844646753,0.0,14.421440051152157
2018-01-11,112.5,20.31222798274113,8.325734321887678,0.0,14.318981152314404
2018-01-12,113.9,20.57981755183291,8.890369048485384,0.0,14.735093300159146
2018-01-13,112.7,20.839436457707322,8.904738169450026,0.0,14.872087313578675
2018-01-14,104.5,20.657220106858464,8.968974186823916,0.0,14.81309714684119
2018-01-15,107.8,21.394409032968376,8.644398799309363,0.0,15.01940391613887
2018-01-16,109.5,22.210393758920517,8.673731657174908,0.0,15.442062708047713
2018-01-17,110.9,22.914591422447792,9.03802193128146,0.0,15.976306676864626
2018-01-18,109.1,23.070554586557243,9.073760692889874,0.0,16.072157639723557
2018-01-19,108.4,22.971195807823758,9.21026967122004,0.0,16.090732739521897
2018-01-20,104.3,23.620258184579708,9.115303259629464,0.0,16.367780722104584
2018-01-21,102.1,23.75899138817421,10.202218129084658,0.0,16.980604758629433
2018-01-22,105.0,24.430040946373587,9.774469485649696,0.0,17.102255216011642
2018-01-23,110.1,24.988946767953728,9.990340049450207,0.0,17.489643408701966
2018-01-24,111.9,25.63318428626428,10.73805552262527,0.0,18.185619904444778
2018-01-25,110.9,24.65248606755184,12.113985281724204,0.0,18.383235674638023
2018-01-26,102.8,23.867116047785842,10.523249846238365,0.0,17.195182947012103
2018-01-27,107.1,22.296624990609978,10.678956728715157,0.018874487190535576,16.487790859662567
2018-01-28,103.7,23.42837157616248,9.506690172048714,0.0,16.4675308741056
2018-01-29,105.9,24.08846781804012,9.131763458251955,0.0,16.610115638146038
2018-01-30,115.0,24.467701104971084,9.74579495650071,0.0,17.106748030735897
2018-01-31,118.7,25.16876117999737,10.80759290548473,0.0,17.98817704274105
2018-02-01,123.2,25.7392446077787,11.269746707035937,0.0,18.50449565740732
2018-02-02,122.5,25.59451851477989,11.490385275620675,0.0,18.54245189520028
2018-02-03,120.1,26.451599121093746,11.67936442448542,0.0,19.065481772789582
2018-02-04,113.3,27.309809024517367,13.032717558053834,0.0,20.1712632912856
2018-02-05,115.1,26.96803621145394,14.22599425682655,0.0,20.597015234140244
2018-02-06,118.1,26.54301863450269,13.962458243736855,0.0,20.252738439119774
2018-02-07,119.4,27.43814292320838,13.927781178401062,0.0,20.682962050804722
2018-02-08,118.5,26.941843766432548,15.391217011671806,0.0,21.166530389052177
2018-02-09,119.4,27.62874661959135,14.200250332172114,0.0,20.914498475881732
2018-02-10,118.9,26.37238854628344,14.70930326901951,0.0,20.540845907651473
2018-02-11,108.5,26.653665982759925,13.582156181335469,0.0,20.117911082047698
2018-02-12,116.8,27.687623684222874,12.69247187100924,0.0,20.19004777761606
2018-02-13,121.8,27.51871578509991,14.072964668273924,0.0,20.795840226686916
2018-02-14,123.2,27.653414652897766,15.333280196556693,0.0,21.49334742472723
2018-02-15,121.9,27.556429202740006,13.733433136573195,0.34723277299693067,20.6449311696566
2018-02-16,119.3,27.567531145535973,12.951349185063291,0.0,20.259440165299633
2018-02-17,121.4,27.509550388042744,13.888279034541199,0.0,20.69891471129197
2018-02-18,115.7,28.37536430358887,14.379232259897085,0.0,21.377298281742977
2018-02-19,122.6,28.877708728496852,14.813657173743623,0.0,21.84568295112024
2018-02-20,126.9,29.100434816800636,15.580938926109901,0.0,22.34068687145527
2018-02-21,124.3,29.049877460186305,15.380511797391462,0.0,22.215194628788883
2018-02-22,123.8,29.70603209275466,15.355705041151781,0.0,22.53086856695322
2018-02-23,124.0,30.542156219482415,15.938890237074638,0.0,23.240523228278526
2018-02-24,125.5,31.01934447655311,16.745980776273285,0.010045576276201182,23.882662626413197
2018-02-25,117.2,31.776007725642277,17.047329242412864,0.0,24.411668484027572
2018-02-26,120.1,30.271969721867485,17.962272203885593,1.0414750968868085,24.11712096287654
2018-02-27,134.1,29.421146392822266,18.165835380554206,1.6821574428767851,23.793490886688236
2018-02-28,133.9,30.251477021437434,17.340197929969204,0.0,23.79583747570332
2018-03-01,122.9,30.682760678804836,18.67894598153922,0.0,24.680853330172027
2018-03-02,122.6,31.108734571016743,18.571210567767785,0.12532903931357645,24.839972569392266
2018-03-03,122.2,31.990208112276523,18.953246483436,0.24566722458059148,25.471727297856262
2018-03-04,116.7,32.462709867037255,18.838750105637775,0.0,25.650729986337517
2018-03-05,136.3,31.12339078463039,19.271614148066583,0.0,25.19750246634849
2018-03-06,136.9,31.877368046687216,18.576425919165995,0.19435115271445477,25.226896982926604
2018-03-07,137.1,30.99881597665639,16.89744978684645,0.03839108799443091,23.94813288175142
2018-03-08,146.7,31.387771019568806,16.533234302814186,0.0,23.960502661191498
2018-03-09,144.6,31.75929172222432,17.494318815378044,0.0,24.62680526880118
2018-03-10,143.7,31.97206438504732,17.09786099653977,0.30807867917147574,24.534962690793545
